City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
341,Mattru,SL,7.62,-11.83,76.66,87,7,3.91,clear sky
342,Shimoda,JP,34.67,138.95,51.66,61,56,5.95,broken clouds
343,Avrille,FR,47.5,-0.58,44.01,87,90,12.75,overcast clouds
344,Jardim,BR,-21.48,-56.14,95.16,36,55,1.77,broken clouds
345,Galle,LK,6.04,80.22,77.41,83,57,3.22,moderate rain
346,Mortka,RU,59.33,66.02,-9.49,90,100,7.05,overcast clouds
347,Russell,US,32.35,-85.2,66.2,42,1,3.36,clear sky
348,Malanje,AO,-9.54,16.34,64.81,97,88,3.13,overcast clouds
349,Gidole,ET,5.65,37.37,59.2,47,53,3.62,broken clouds
350,Cabrero,CL,-37.03,-72.4,89.6,21,0,8.05,clear sky
351,Nueva Loja,EC,0.08,-76.88,78.8,78,90,2.24,overcast clouds
352,Altay,CN,47.87,88.12,-0.78,46,0,3.58,clear sky
353,Los Llanos De Aridane,ES,28.66,-17.92,68.0,77,75,5.82,broken clouds
354,Bykov,RU,47.32,142.55,-2.2,84,75,2.24,light shower snow
355,Safakulevo,RU,54.99,62.54,12.63,97,100,6.15,overcast clouds
356,Morro Bay,US,35.37,-120.85,55.99,83,82,1.99,broken clouds
357,Sept-Iles,CA,50.2,-66.38,28.4,79,100,11.41,overcast clouds
358,Rio Gallegos,AR,-51.62,-69.22,60.8,44,40,8.05,light rain
359,Yorosso,ML,12.35,-4.78,74.37,19,0,8.7,clear sky
360,Half Moon Bay,US,37.46,-122.43,54.0,76,40,8.05,scattered clouds
